Requirement,Type
"Only 1 exit ramp per direction shall be provided at all interchanges; that is, consecutive exits for 2 different directions are to be combined into a single exit or from a C-D road.",Design
"On bottom right of front sheet with the names and numbers of all the sheets in the set, including any standard drawings being used for the Project, and including reference drawings where applicable.",Design
Object height shall be 0.0 m for all cases.  Height of driver’s eye shall be 1.05 m in all cases.,Design
"NTCIP protocols that apply to the Bypass include but are not limited to:
Vehicle count stations (NTCIP 1206); ",Design
"NTCIP protocols that apply to the Bypass include but are not limited to:
Variable message signs (NTCIP 1203);",Design
"NTCIP protocols that apply to the Bypass include but are not limited to:
Traffic signals (NTCIP 1202);",Design
"NTCIP protocols that apply to the Bypass include but are not limited to:
Environmental sensor stations (NTCIP 1204);",Design
"NTCIP protocols that apply to the Bypass include but are not limited to:
CCTV cameras (NTCIP 1205);",Design
NTCIP protocols that apply to the Bypass include but are not limited to: Transportation sensor systems (NTCIP 1209).,Design
"Notwithstanding the Bridge Design Code clause 5.7.1.7.1:
> The second paragraph shall be amended to read “Concrete deck slabs that are proportioned in accordance with the empirical design method of clause 8.18.4 for the CL-750 Truck need not be analyzed for transverse bending moments due to live load, except for the cantilever portions.”
> In the third paragraph, sub clause (a)(i), the number ‘87.5’ shall be replaced with the
number ‘105’, and the Truck type shall be revised from ‘CL-625’ to ‘CL-750’.",Design
"Notwithstanding the Bridge Design Code clause 5.7.1.6.1.1:
> For the design moment intensity due to the vertical axle loads of the CL-750 Truck, the effects of individual loads shall be obtained and superimposed or, alternatively, the design moment intensity due to the CL-750 Truck may be obtained directly by multiplying the maximum cantilever moments in Table 5.10 by a factor of 1.20, for stiffened and unstiffened overhangs, as applicable (Table 5.10 includes the factor [1+DLA]”
> In clause 5.7.1.6.2, wheel load P shall be changed from 87.5 kN to 105 kN.",Design
"Notwithstanding the Bridge Design Code clause 10.7.4.1, welded steel girders spanning less than 25 m shall be cambered to compensate for dead load deflection and highway grade profile.",Design
"Notwithstanding section 1.4.2.5 of the Bridge Design Code, the use of single load path structures will not be permitted.",Design
"No trough drain or wick drain carrying roadway drainage shall be located over the steel soil reinforcement, and no drain pipe carrying roadway runoff shall be located within the MSE wall soil reinforcement.",Design
No trough drain or wick drain carrying roadway drainage shall be located over steel soil reinforcement.,Design
"No land uses which would attract birds or wildlife are permitted within a distance of approximately 9 km from the Aerodrome Reference Point. The following permananet and temporary land uses are not permitted: Stormwater management ponds; marshes, swamps and mudflats; plowing/cultivating/haying.",Design
"No earth slopes shall be steeper than the following and subject to slope stability analysis: Subgrade sideslopes: Mainline, Crossroads, directional ramps: Standard Plan 21010, except as noted below: Fills Over 6 m 4:1, widen subgrade 0.9 m each side for guardrail where required.",Design
"No earth slopes shall be steeper than the following and subject to slope stability analysis: Subgrade sideslopes: Mainline, Crossroads, directional ramps: Standard Plan 21010, except as noted below: Fills 4-6 m Slope variable, toe fixed at 24 m.",Design
"No earth slopes shall be steeper than the following and subject to slope stability analysis: Subgrade sideslopes: Mainline, Crossroads, directional ramps: Standard Plan 21010, except as noted below: Fills 0-4 m 6:1.",Design
"No earth slopes shall be steeper than the following and subject to slope stability analysis: Pavement structure sideslopes: Mainline, Highway 1, Highway 11, directional ramps 6:1.",Design
"No earth slopes shall be steeper than the following and subject to slope stability analysis: Pavement structure sideslopes: C-D Roads, ramps/loops, all other Crossroads 5:1.",Design
No earth slopes shall be steeper than the following and subject to slope stability analysis: Pavement structure sideslopes: • Service Roads 4:1.,Design
No drain pipe carrying roadway runoff shall be located within the MSE wall reinforcement.,Design
No ditching required along the City of Regina waterline right of way at 9th Avenue.,Design
No  bridges shall be on spiral curves or superelevation transitions.,Design
New structures shall be fully continuous from end to end. Deck joints shall only be permitted at abutments.,Design
MSE walls with traffic running parallel to the top of the wall shall have rigid barriers meeting the requirements of the Bridge Design Code section 12.,Design
MSE wall swales shall have a minimum width of 600-mm and a minimum depth of 150-mm.,Design
MSE wall swales shall be designed for the 100-year storm event without over-topping.,Design
"MSE wall backfill shall extend a minimum of 0.5 m beyond the end of the soil reinforcement. The minimum length of the soil reinforcement shall be 2.5 m or 0.7H but for walls supporting bridges, the minimum reinforcement length shall be 60% of the distance from the top of the levelling pad to the road surface plus 2 m, or the minimum length required by AASHTO.",Design
"Mitigation measures shall be designed to direct flow away from toes and ends of walls, and to prevent erosion at these locations and at drainage discharge points.",Design
"Mitigating measures shall be designed to direct flow away from toes and ends of walls, and to prevent erosion at these locations and at drainage swale discharge points.",Design
Minimum text size shall be 3 mm on a 24 x 36 plot.,Design
"Minimum surfacing requirements at the at-grade railway crossings shall comply with the following and selection is subject to the Railway Company’s approval: Highway 1, South Service Road CP Tyvan Sub; full depth timber, sectional treated timber and full depth bituminous (asphalt) with rubber flangeways.",Design
"Minimum surfacing requirements at the at-grade railway crossings shall comply with the following and selection is subject to the Railway Company’s approval: Highway 1, North Service Road CP Tyvan Sub; full depth timber, sectional treated timber and full depth bituminous (asphalt) with rubber flangeways.",Design
"Minimum surfacing requirements at the at-grade railway crossings shall comply with the following and selection is subject to the Railway Company’s approval: Fleet Street CN Lewvan Sub; full depth timber,  sectional treated timber, and full depth bituminous (asphalt) with rubber flangeways.",Design
Minimum size of reinforcing bars in all cast-in-place bridge elements shall be 15M.,Design
Minimum separation between girder ends shall be 300 mm.,Design
Minimum height of pedestrian railings and bicycle railings shall be 1.05 m and 1.37 m respectively.,Design
Minimum distance between horizontal curves on the NB-WB and SB-WB ramps at Highway 1 West interchange may be reduced to match the Reference Concept.,Design
Minimum Design Life of structures shall be 75-years for Bridges and bridge-size culverts.,Design
"Minimum depth of penetration, splice detail and tip detail shall be shown on the Design Data drawings.",Design
Minimum Clear Cover to Prestressing Steel for precast concrete straddle bent vertical surface - 70 mm.,Design
Minimum Clear Cover to Prestressing Steel for Precast concrete straddle bent soffit - 65 mm.,Design
Minimum Clear Cover to Prestressing Steel for concrete with 28 day compressive strength less than 65 MPa - 50 mm.,Design
Minimum Clear Cover to Prestressing Steel for concrete with 28 day compressive strength greater than or equal to 65 MPa - 45 mm.,Design
Minimum clear cover to post tensioning ducts for precast concrete straddle bent vertical surface - 75 mm.,Design
Minimum clear cover to post tensioning ducts for precast concrete straddle bent soffit - 70 mm.,Design
Minimum clear cover to post tensioning ducts for concrete with 28 day compressive strength less than 65 MPa - 50 mm.,Design
Minimum clear cover to post tensioning ducts for concrete with 28 day compressive strength greater than or equal to 65 MPa - 45 mm.,Design
Minimum clear cover to post tensioning ducts for cast-in-place concrete straddle bent vertical surface - 90 mm.,Design
Minimum clear cover to post tensioning ducts for cast-in-place concrete straddle bent soffit - 80 mm.,Design
Median fencing shall be provided between Pilot Butte Interchange and White City Interchange.,Design
Maximum reinforcement loads shall be calculated using the “Simplified Method” as presented in the AASHTO LRFD Bridge Design Specification.,Design
"Manholes shall not be located within the paved area of the roadway, except catchbasin manholes in the urban section of Crossroads.",Design
"Maintenance crossovers in the median of the mainline or between the mainline, C-D roads or ramps are not permitted.",Design
Mainline -Design Speed = 130 km/h,Design
Mainline (New) = 32.0m,Design
Mainline - Left (inside) = 1.0m; Right (Outside) = 3.0m,Design
Mainline - Lane width = 3.7m,Design
Mainline - Downgrade = 5.0% Max. Upgrade = 3.0% Max.,Design
Loop ramp = Design Speed = 50 km/h,Design
Longitudinal reinforcing in the curbs and barriers above the top of deck shall be continuous at the control joints. ,Design
Longitudinal reinforcing in barriers shall be continuous at the control joints.,Design
Longitudinal deck bars shall be detailed with a bar centred directly over the girder webs and the remaining bars spaced evenly between girder lines.,Design
Locked gates shall be provided  to these walkways.,Design
Locations of electrical ground connections for CSE testing shall be recorded on the drawings.,Design
Locations for future jacking shall be shown on the Detailed Designs and shall be based on estimated jack and distribution plate sizes.,Design
"Location of stream, roadway or railroad and direction of flow, with river training works and/or bank protection works.",Design
Location of all test holes.,Design
"Location and alignment of the proposed bridge crossing relative to the “stream”, roadway or railroad, together with direction of flow and “stream”, roadway or railroad name, with stationing on both the road alignment and the “stream”, roadway or railroad. For a divided road, the direction of flow would correspond to the direction of travel, e.g. EB or NB.",Design
Live load distribution factors used for girder design shall not be less than the empirical factors specified in the Bridge Design Code.,Design
"Lengths of precast concrete girders are to be shown on the general layout drawings together with pier diaphragm thicknesses between girder ends, and distance from abutment girder end to centreline abutment bearing. Precast girder lengths shall be set to meet geometric and clearance requirements and shall be measured along the bottom flange at a fabrication temperature of 0° Celsius. Allowance shall be made for prestress shortening, shrinkage and creep up to the time of girder erection.",Design
"Legal land lines, right of way lines and land ownership.",Design
Lateral restraint details shall be shown on the design data drawings.,Design
Lane balance shall be provided.,Design
Keep Ministry drawing numbers as 1 sequential set through each bridge drawing package.,Design
It is Project Co’s responsibility to obtain the latest versions of any applicable railway design standards that are to be followed during design of any railway crossing.,Design
"Issues considered shall include, but not be limited to: Traffic signal configuration;",Design
"Issues considered shall include, but not be limited to: Traffic control devices;",Design
"Issues considered shall include, but not be limited to: Surface standards including treatments and structures;",Design
"Issues considered shall include, but not be limited to: Signing and pavement markings;",Design
"Issues considered shall include, but not be limited to: Safety barriers;",Design
"Issues considered shall include, but not be limited to: Provision for vulnerable road and right-of-way users;",Design
"Issues considered shall include, but not be limited to: Lighting;",Design
"Issues considered shall include, but not be limited to: Landscaping;",Design
"Issues considered shall include, but not be limited to: Intersection details;",Design
"Issues considered shall include, but not be limited to: Fencing;",Design
"Issues considered shall include, but not be limited to: Drainage;",Design
"Issues considered shall include, but not be limited to: Clearances to roadside objects;",Design
"Issues considered shall include, but not be limited to: At-grade railway crossings;",Design
"Issues considered shall include, but not be limited to: Any other Pre-Final Design Road Safety Audit results affected by the final design.",Design
"Issues considered shall include, but not be limited to: Accommodation of design vehicles;",Design
Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: Traffic operations;,Design
"Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: Sight distance including, but not limited to, stopping sight distance and turning sight distance, sight distances to traffic control devices, bullnoses, etc;",Design
Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: Safety barriers; ,Design
Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: Safety assessment of at-grade railway crossings;,Design
Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: Provision for vulnerable road and right-of-way users.,Design
Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: Operational and maintenance safety;,Design
Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: Operation of public transit; ,Design
Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: Interchange/intersection configuration;,Design
Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: Human factors;,Design
Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: Environmental factors;,Design
Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: Design consistency;,Design
Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: Cross-section design;,Design
Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: Clearances to roadside objects;,Design
Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: Access location;,Design
Issues considered in the Pre-Final Design Road Safety Audit shall include but not be limited to: • Horizontal and vertical alignment;,Design
"Intermediate stiffeners, other than at stress reversal locations, shall be welded to the compression flange only, and cut short of the tension flange with web gap meeting the requirement of Section 10.10.6.4 of the Bridge Design Code.",Design
Intermediate stiffeners in regions of stress reversal shall be snug fit to both flanges. ,Design
Intermediate diaphragms in bridge structures with steel beam and slab superstructures shall have a maximum spacing of 8.0 m.,Design
Interior traffic separation barriers shall have full cover plates on both sides and across the top. ,Design
Interchange loop ramps (e max) = 0.06 m/m,Design
"Integral abutments shall not be used for bridge spans greater than specified below:
Joint type      Maximum Thermal Span     Maximum Thermal Span
                       for Steel Girder Bridges        for Concrete Girder Bridges
C1                                22.5 m                                     30 m
C2                                45 m                                        60 m

The thermal span shall be taken as the span measured from the fixed point to centreline abutment bearings/centreline piles.",Design
Install and maintain traffic signal Prior to Substantial Completion at Highway 46 & Highway 364 as listed in Package E of Appendix G to Schedule 15-2.,Design
Install and maintain traffic signal Prior to Phase One Substantial Completion at Pilot Butte Access Road (South Terminal) as listed in Package E of Appendix G to Schedule 15-2.,Design
Install and maintain traffic signal Prior to Phase One Substantial Completion at Pilot Butte Access Road (North Terminal) as listed in Package E of Appendix G to Schedule 15-2.,Design
Incremented bars shall each have their own bar mark.,Design
Include the electrical drawings in the sequential drawing number allocation.,Design
In Townships 16-19-W2 and 16-20-W2 any crossing of the mainline or Service Roads over an section of the Rowatt Water Management Poject shall require consultation with the Saskatchewan Water Security Agnecy to obtain the proper conditions for sizing drainage structures.,Design
"In the quantity summary on the information sheet drawing, totals for each bar type shall be shown separately for substructure and superstructure.",Design
"In text units shall be spelled out in full.  (e.g. 16 metres, not 16 m)",Design
"In performing the check of the design data in Temporary Works submissions, the Design Team or the Checking Team, as applicable, shall satisfy itself that:
the Design Data meets the project requirements and otherwise complies with the requirements of the Project Agreement;",Design
"In no case shall the shoulder be wider than 3.5 m.  On divided roadways, shoulder widths may be a minimum 0.8 m (inside) and 2.5 m (outside) at the Expiry Date (reduced widths due to rehabilitation overlays).",Design
In no case shall the enclosed angle between the front abutment wall and a wingwall be less than 70°.,Design
"In all cases the geomembrane material shall be made continuous and water-tight, and shall extend a minimum of 500 mm beyond the extent of the steel soil reinforcement",Design
"In addition, the Data Management Centre (DMC) shall support “centre-to-centre” (C2C) communication with other agency centres. ",Design
"Immediately adjacent to the roadway, the steel soil reinforcement shall be similarly protected by a geomembrane for a minimum width of 5 m parallel to the roadway.",Design
"If, having received comments from the Ministry Representative on any Works Submittal, Project Co considers that compliance with those comments would amount to a Variation, Project Co shall, within 10 Business Days of receipt of and before complying with the comments, provide written notice to the Ministry or Ministry Representative of the same. ",Design
"If the Works Schedule indicates that a large number of Works Submittals will be made at one time, the Ministry Representative may, at the Ministry Representative’s discretion, request a longer period for review or a staggering of the Works Submittals, and Project Co shall review and revise the Works Schedule accordingly, taking into account both the resources necessary to be available to the Ministry Representative to conduct such review and whether delay in the review of the subject matter of the Works Submittal shall have a material impact on Project Co’s ability to progress future anticipated Works Submittals and the Works in accordance with the Works Schedule.",Design
"If the TDC units are not sufficient to meet the coverage requirements of the Bypass, Project Co shall include recommendations in the report.",Design
"If the roadway has a normal crown and the sidewalk is higher than the adjacent road surface, the sidewalk shall drain through slots in the traffic separation barrier onto the roadway gutter.",Design
"If the Ministry Representative objects to any Design Data in accordance with the Review Procedure, the Ministry Representative shall so notify Project Co and Project Co shall, unless Project Co disputes the objection by the Ministry Representative to such Design Data in accordance with the Dispute Resolution Procedure, either:
(a) cause to be made such alterations and additions as may be necessary such that the Design Data accords with the project requirements and all other requirements of this Project Agreement, all in accordance with the Review Procedure; or
(b) subject to the other provisions of this Project Agreement, submit an Innovation Proposal or propose a Variation.",Design
"If Project Co proposes concrete pavements, details of the design method, applicable standards and specifications, quality control requirements and performance monitoring plans must be provided.",Design
"If Project Co disputes any act of the Ministry or the Ministry Representative in respect of a Works Submittal, Project Co shall promptly notify the Ministry Representative and the Independent Certifier of the details of such Dispute and shall submit the reasons why Project Co believes a different comment should be assigned, together with appropriate supporting documentation. ",Design
"If during an audit or at any other time it is discovered by the Ministry or Project Co that any Works Submittals were not correctly implemented, Project Co shall at its sole cost immediately take all necessary steps to correct and modify the applicable Works Submittals and the Project Operations to which they relate and shall advise the Ministry Representative of all such corrections and modifications.",Design
"If curbs or raised sidewalks are used to separate traffic, the curb or sidewalk height shall not exceed 200 mm.",Design
"If CCTV camera locations are insufficient to meet the coverage requirements of the interchange and corridor, Project Co shall include recommendations in the report for Ministry review.",Design
"If at any time it is discovered that Project Co has not corrected the deficiencies on Works Submittals stamped “REVIEWED AS NOTED”, then Project Co will be required to modify the Works Submittals and Project Operations, as applicable and as required to ensure that the Works comply with the Technical Requirements, any other applicable Schedule to this Project Agreement, and the Project Co Proposal Extracts. ",Design
"If any revisions are required to the Design Data as a result of site or other conditions during any portion of the Construction Activities, Project Co shall either:
a)  notify the Ministry promptly of the site or other conditions that require such revision and submit to the Ministry revised Design Data before incorporating the revision into the Works; or

b) notify the Ministry promptly of the site or other conditions that require such revision and submit to the Ministry a sealed memo from the Engineer of Record explaining the proposed revision and agreeing to such revision before incorporating the revision into the Works and submit revised Design Data within three (3) Business Days after the Project Co becomes aware of the need for the revision.

 ",Design
"If any Design Data is revised as part of a Works Submittal, all other Design Data relying on or based on that Design Data shall also be revised accordingly.",Design
"If a sidewalk is located on the high side of a superelevated roadway, the sidewalk shall drain to the outside edge and the drainage shall be carried longitudinally down the edge of the sidewalk.",Design
"If a roof slab is required, both wingwalls shall be cast-in-place concrete and cantilevered off the grade beam",Design
"Hydraulic calculations shall be performed on ditch segments to confirm that flow velocities do not exceed a maximum velocity of 1.0 m/s, to prevent erosion of the cross-sections, unless adequate erosion protection is provided.",Design
"Horizontal – In the case of curves at bridge and/or guardrail locations, meet or exceed the SKS for lateral clearance on horizontal curves for SSD with shoulder width not to exceed 3.5 m.  ",Design
"Hill Avenue shall be 2 lanes with a design speed of 90 km/h (Design speed shown is outside of interchange area.  Design speed through interchange area shall be 80 km/h), a maximum grade of 3%, a lane width of 3.7 m, a median width of 6 m, shoulder width of 2 meters on the right  - no shoulder on the left and a minimum ditch width of 3 meters.",Design
Highway and bridge surface drainage shall be controlled and channelled away from the back of the MSE walls and the MSE mass.,Design
"Highway 6 North of TWP Road 162 shall be 4 lanes, with a design speed of 110 km/h, a maximum grade of 3%, a lane width of 3.7 m, a median width of 12-18 m(Match existing median width of 12 m at north limit for approximately 1 km south.  Transition to 18 m median as provided in the Reference Concept. ), shoulder width of 3 meters on the right and 1 meter on the left and a minimum ditch width of 8 meters.",Design
"Highway 48, 46, and Pilot Butte Access Road, Hill Avenue, Fleet Street, Courtney St., Hill Ave., 9 Ave. North, and Armour Road shalll have a minimum of 1 lane in each direction, 1.0 m minimum shoulder width, 60 km/hr minimum design speed and 50 km/hr minimum posted speed. The maximum posted speed shall be 60 km/h when work is occurring on the road surface where vehicles normally travel or park and highway workers or flag persons are present, highway equipment occupied by a highway worker are present, and/or highway equipment on a highway has its warning lights in operation.   ",Design
"Highway 48 shall be 4 lanes with a design speed of 110 km/h (Design speed shown is outside of interchange area. Design speed through interchange area shall be 80 km/h), a maximum grade of 3%, a lane width of 3.7 m, a median width of 6 m, shoulder width of 3 meters on the right  - no shoulder on the left and a minimum ditch width of 8 meters.",Design
"Highway 46 shall be 2 lanes with a design speed of 110 km/h (Design speed shown is outside of interchange area.  Design speed through interchange area shall be 80 km/h), a maximum grade of 3%, a lane width of 3.7 m, a median width of 6 m, shoulder width of 3 meters on the right  - no shoulder on the left and a minimum ditch width of 8 meters.",Design
"Highway 33 South of CN Lewvan shall be 4 lanes with a design speed of 130 km/h, a maximum grade of 3%, a lane width of 3.7 m, a median width of 18 m, shoulder width of 3 meters on the right and 1 meter on the left and a minimum ditch width of 8 meters.",Design
"Highway 33 South of Chuka Creek to CN Lewvan shall be 4 lanes with a design speed of 100 km/h, a maximum grade of 3%, a lane width of 3.7 m, a median width of 18 m, shoulder width of 3 meters on the right and 1 meter on the left and a minimum ditch width of 8 meters.",Design
"Highway 33 shall have a minimum of 1 lane in each direction, 2 m minimum shoulder width, 70 km/hr minimum design speed and 60 km/hr minimum posted speed. The maximum posted speed shall be 60 km/h when work is occurring on the road surface where vehicles normally travel or park and highway workers or flag persons are present, highway equipment occupied by a highway worker are present, and/or highway equipment on a highway has its warning lights in operation.   ",Design
"Highway 33 North of Chuka Creek shall be 4 lanes with a design speed of 80 km/h, a maximum grade of 3%, a lane width of 3.7 m, a median width of 18 m, shoulder width of 3 meters on the right and 1 meter on the left and a minimum ditch width of 8 meters.",Design
"Highway 11 shall be 4 lanes with a design speed of 130 km/h, a maximum grade of 3%, a lane width of 3.7 m, a median width of 24.6 m, shoulder width of 3 meters on the right and 1 meter on the left and a minimum ditch width of 8 meters.",Design
"Highway 1 West (West & East of Mainline) shall be 4 lanes with a design speed of 130 km/h, a maximum grade of 3%, a lane width of 3.7 m, a median width of 24.6 m, shoulder width of 3 meters on the right and 1 meter on the left and a minimum ditch width of 8 meters.",Design
"Highway 1 East, Highway 11, and  Existing Highway 1 West: Shall have a minimum of 1 lane in each direction except during peak times 2 lanes will be required as follows: Peak times along the Bypass at Highway 1 East (between Tower Road and the Project Limits to the east of Balgonie Interchange): Monday through Friday from 6 AM to 9 AM for the WB lanes and Monday through Friday from 4 PM to 6 PM for the EB lanes.  ",Design
"Highway 1 East, Highway 11, and  Existing Highway 1 West: Shall have a minimum of 1 lane in each direction except during peak times 2 lanes will be required as follows:  Peak times along the Bypass between Rotary Avenue and 9th Avenue North: Monday through Friday from 6 AM to 9 AM and 4 PM to 6 PM in both directions.",Design
"Highway 1 East, Highway 11, and  Existing Highway 1 West shall have a minimum shoulder width of 1.5 m, a minimum design speed of 70 km/hr and a minimum posted speed of 60 km/hr. The maximum posted speed shall be 60 km/h when work is occurring on the road surface where vehicles normally travel or park and highway workers or flag persons are present, highway equipment occupied by a highway worker are present, and/or highway equipment on a highway has its warning lights in operation.   ",Design
Height of bridge barrier and/or railing on bridge and downslope retaining structures outside of: -Multi-use Trail and/or bikeways = 1.37 m; Pedestrian Walk = 1.05 m.,Design
"Ground stationing for locating the centreline bearing of sub-structure elements shall be adjusted to account for, the length difference between gradeline profile and horizontal surveyed distances, the longitudinal shift due to off-plumb tilting of bearing stiffeners or control sections set perpendicular to the top flange, when span lengths are measured along the top flange and, the differences between ground distances and other surveying systems.",Design
Ground stationing for locating the centreline bearing of sub-structure elements shall be adjusted to account for the length difference between gradeline profile and horizontal surveyed distances and the differences between ground distances and other surveying systems.,Design
Ground connections shall be accessible by foot and without the use of specialized equipment.,Design
"Great Plains Road shall be 2 lanes with a design speed of 60 km/h, a maximum grade of 4%, a lane width of 3.7 m, shoulder width of 2 meters on the right  - no shoulder on the left and a minimum ditch width of 3 meters.",Design
Gravel Service Roads - Lane width = 3.0m,Design
"Gravel Pit Road shall be 2 lanes with a design speed of 60 km/h, a maximum grade of 4%, a lane width of 3.7 m, shoulder width of 2 meters on the right  - no shoulder on the left and a minimum ditch width of 3 meters.",Design
"Gravel Crossroads or Service Roads that intersect with the mainline or other Provincial Highway, shall be paved to either: the near edge of a parallel gravel Service Road; or the further of intersection limits, or right-of-way limits. All other Crossroads shall be paved throughout.",Design
Grassed swales with a non-degradable erosion control mat shall be provided behind the tops of the MSE walls to collect and discharge surface water.,Design
Grass swales with a non-degradeable erosion control mat shall be provided behind the tops of the MSE walls to collect and discharge water. ,Design
"Gradeline with stations, elevations and grades at intersection of tops of fills with gradeline.",Design
Grade separation structures shall have aesthetic treatment of bridge piers.,Design
Girders shall be erected on a minimum 150 mm high plinth.,Design
Girder ends and bearing stiffeners shall be vertical in the erected position.,Design
Girder design and detailing shall consider the effects of differential camber between girders.,Design
Geotechnical information including test holes.,Design
Geotechnical boreholes shall extend a minimum of 3 m below the estimated pile tip elevation.,Design
"Geometric design of the mainline and Crossroads shall accommodate over dimension vehicles up to 6.4 m wide, 5.3 m high at bridges and 6.0 m high at overhead sign structures and traffic signals, and 42 m in length. ",Design
"Generally 1:250,000 scale, showing bridge location with bridge site circled and identified with file number, with north arrow in the top half of the map.",Design
"Further to AASHTO Standard Specs section 11.8 “Deflection”, the vertical deflection for sign structures shall not exceed 200 mm regardless of their configuration.",Design
"Further to AASHTO Standard Specs section 11.7.1 “Galloping”, the Ministry will not approve the use of vibration mitigation devices in lieu of designing to resist periodic galloping forces. Furthermore, the Ministry requires that galloping loads be considered for the fatigue design of all overhead cantilevered sign support structures regardless of their configuration.",Design
"Further to AASHTO Standard Specs section 11.7 “Fatigue Design Loads”, a dynamic analysis of the structure will not be accepted in lieu of using the equivalent static pressures provided in the specification.",Design
"For watercourse bridges, any portion of the headslope above pathways shall be covered with concrete slope protection to prevent erosion and enhance the appearance of the headslopes.",Design
"For watercourse bridges, any (not including any portions requiring rock riprap) shall receive appropriate aesthetic treatment to prevent erosion and enhance the appearance of the headslopes.",Design
"For water crossings, minimum bottom flange elevation, design high water and design high ice elevations, high water elevation with date, if available, water level elevation at time of survey with date.",Design
For water crossings provide water elevation at time of survey with date.,Design
For water crossings provide high water elevation with date.,Design
For water crossings provide design high water and design high ice elevations.,Design
For water crossings provide bridge minimum bottom flange elevation.,Design
For water crossings - Existing and proposed bank protection works.,Design
For water crossings - Design bed width and elevation.,Design
"For vertical abutments, provide a minimum of 0.5 m wide concrete walkway in front of abutment seat. ",Design
"For the Final Design Development Submittals Project Co shall prepare a comprehensive geotechnical report for the Project that covers existing geotechnical information and known site conditions, new investigations performed for the Project, geotechnical engineering analysis, geotechnical design assumptions and design parameters (and the basis for these) and geotechnical design recommendations. ",Design
"For substructure elements founded on driven steel Pipe piles, 324x7.35 mm or larger piles shall be used.",Design
"For substructure elements founded on driven steel H-Piles, HP 310 or larger piles shall be used.",Design
"For stepped levelling pads, the maximum elevation difference between adjacent steps shall not exceed 750 mm.",Design
"For signs outside the Project Limits, Project Co shall obtain all the necessary permits, licenses and approvals from the relevant Local Authority in order to design and install the signs outside the Project Limits.",Design
"For sign structures, the general layout drawings shall be updated to match the actual sign structures as fabricated.",Design
For Roadway lighting on sections of the Conveyed Infrastructure Project Co shall engage and pay SaskPower to do all design and installation of roadway illumination. ,Design
For roadway embankments soils classified as “ML” or “MH” shall be considered as “unsuitable materials”.,Design
"For roadway crossings, roadway elevations or roadway profile of underlying roadway for approx 750 m each side of the crossing.",Design
"For relevant design submissions submitted in accordance with the Review Procedure, Project Co shall submit an “Independent Structural Design Check Certificate”, in the form provided as Attachment 2 to this Appendix A.",Design
"For railway crossings, top of track elevations or track profile of underlying track for approx. 750 m each side of the crossing.",Design
For railway crossings - track locations and clearance box requirements.,Design
"For precast girders, the following note shall be added:
“PRECAST SUPPLIERS SHALL MAKE APPROPRIATE ALLOWANCE FOR PRESTRESS SHORTENING, SHRINKAGE AND CREEP UP TO THE TIME OF GIRDER ERECTION”",Design
"For post-tensioning ducts in pre-cast concrete girders with 28 day concrete strength greater than or equal to 65 MPa, the inside duct diameter shall not exceed 50% of the web thickness and the inside duct area shall be > 250% of the strand area.",Design
"For pier girders, jacks shall be placed front and back of bearings and bearings removed sideways.  ",Design
"For pier diaphragms with a pinned or expansion connection to the pier, the ends of both girders shall be supported on separate reinforced elastomeric pads.",Design
"For pier diaphragms connected monolithically to the pier top, girder ends may be supported on plain elastomeric pads for erection loads only.",Design
"For pedestrian/cyclist railing designed for use at the outside of sidewalks with a traffic separation barrier on the road, the pedestrian/cyclist railing shall be mounted on a concrete curb projecting 150 mm above the sidewalk. ",Design
"For NU girders and other “I” shaped girders, 10M closed ties shall be provided in the bottom flange to confine the pre-tensioning strands. Within the distance h from the end of the girder, closed ties shall be provided as required for confinement, however spacing of closed ties shall not exceed 150 mm. Beyond the distance h from the end of the girder, closed ties shall be provided at a minimum spacing of 300 mm.",Design
For NU Girders and other “I” shaped girders all girder ends shall have cast-in shoe plates anchored into the girders. Shoe plate design shall account for the different support conditions at the abutments and piers.,Design
For NU Girders a minimum of 4 bonded pretensioning strands shall be incorporated in the top flange to assist in controlling stresses due to transportation and deck construction.,Design
"For MSE walls that run parallel to the roadway, the impermeable geomembrane barrier shall also intercept drainage from the roadway base layer and direct it away from all MSE walls.",Design
"For MSE wall abutments, the concrete walkway provided in front of the abutment for inspection purposes shall be underlain by an impermeable geomembrane.",Design
"For loop ramps with a curve radius of less than 90 m, the curve modification factor shall be 1.5.",Design
"For long bridges with large expansion movements, the use of multiple bearing stiffeners shall be considered.",Design
"For large movements in fully integral abutments exceeding the movement range of Type C1 control joints or when surrounding soils will restrict pile movement, piles shall be installed in permanent steel casings. ",Design
